Author,Retweets,Likes,Comments,Timestamp,Content
मुआविया सुनेसरा Muaaviya Sunesra معاویہ سنیسرا,2,4,0,2021-01-14 13:19:16,Its N Humble Request To Hon. @CMOMaharashtra  n  @PiyushGoyal  Ji To think about starting of mumbai's life line (Local Train)for the passangers. Many people's are jobless due to not functioning of train. Request to startup the train with strict rules n regulations @AUThackeray
Temporarily embarrassed millionaire,0,1,0,2021-01-14 08:09:27,"From Swyx's request for startup to UI mocks in 5 hoursQuote Tweet Dawid Cedrych @dcedrych  · Jan 13 9:25 am - I see @swyx posted a request for startup  9:32 am - Showing the tweet to the team ""Hey, you know, sounds like a cool idea to wireframe...""  14:39 pm - Team: Show this thread"
Altalogy,0,2,0,2021-01-13 15:33:44,"When  @swyx  publishes his request for startupGIF Quote Tweet Dawid Cedrych @dcedrych  · Jan 13 9:25 am - I see @swyx posted a request for startup  9:32 am - Showing the tweet to the team ""Hey, you know, sounds like a cool idea to wireframe...""  14:39 pm - Team: Show this thread"
Dawid Cedrych,10,73,6,2021-01-13 13:45:18,"9:25 am - I see  @swyx  posted a request for startup  9:32 am - Showing the tweet to the team ""Hey, you know, sounds like a cool idea to wireframe...""  14:39 pm - Team:"
Mario Gabriele,1,20,1,2021-01-13 13:06:02,Request for startup from  @aashaysanghvi_ :  Ridiculously easy vendor management for global SMBS Read more here: https://buff.ly/3bsCcRR
swyx,3,64,16,2021-01-13 08:08:17,"Request for startup: dating app that matches you based on podcasts you listen to.  The more podcasts you share, the more likely you're a match. And you can chat about episodes that you've both listened to!"
c.,0,1,1,2021-01-13 05:18:33,"Replying to  @kumakahoI  @bluesunfl8wer  and 3 othersA static feedback from the ATC was heard in an instant ""EA 0072 engine start up, Approved"" Heaving a deep sigh he starts to remember what's next. ""Request approval for EA 0072"" the first officer replied."
Mario Gabriele,0,2,1,2021-01-12 23:02:02,Request for startup from  @JuliaLipton :  Platforms for online service workers.   Read more here: https://buff.ly/3bsCcRR
#LayconCrush,5,7,0,2021-01-12 21:58:32,My fellow good citizens I humbly request for ur assistant to start up my proposed business. They said a close mouth is a close destiny...any amount can go a long way.... This year I most make it oooooo.
BETA,1,2,0,2021-01-12 20:00:10,Registration for BETA Explore closes in ONE WEEK!   Investors interested in angel investing: you won't want to miss out on this event.   Request an invite here: https://hubs.la/H0DHQyW0   #BETAMN #Startups #FoundersFirst
Tech Company News,0,0,0,2021-01-12 19:26:01,#Startup https://valist.dev - Web #app hosting solution for on-demand temporary staging environments automatically created for every pull #request.On-demand staging automation for web projects | Valist Get visibility in your app's development by automatically deploying previews as your code changes. valist.dev
foundereric,0,7,1,2021-01-12 18:15:49,HOLLY COW!   Our new GROWTH MARKETING group just blow up with many requests on  @FoundersBeta !!!  Growth is #1 issue for startups. Stay tuned for the details.
Beta Boom,0,1,0,2021-01-12 17:32:18,NOW RECRUITING LATINX TECH STARTUPS  The  @ihccbusiness  +  @1871Chicago  Latinx Incubator is seeking applicants for Cohort 8 through January 18th.  Learn more and request an application at https://ihccbusiness.net/latinxincubator/…
Mario Gabriele,1,6,4,2021-01-12 13:06:02,Request for startup from  @laurachau ... Universal e-commerce search.  Read more here: https://buff.ly/3bsCcRR
siob.,0,4,1,2021-01-12 06:49:56,"Replying to  @SIOBCARTIN  @96SKlES  and 2 others“G650, Flight EA 0071 approved for engine start up.” she nodded after the confirmation from the ATC before switching on some buttons to start the engine. “Flight EA 0071 request clearance for take off.”"
Mengxi Lu,0,15,3,2021-01-12 05:52:18,Request for startup: software + marketplace to enable individuals to have their own backyard plant nursery business
Clear Credence Pvt Ltd,0,0,1,2021-01-12 05:42:38,Replying to  @gem_support  @GeM_India  and 5 othersThank u for response. We have been following this PFMS problem from 24 Dec. We r a startup with loan on our head. We request u to kindly give us a timeline for resolution  @GeM_India  @gem_support  @DoC_GoI  @minmsme  @TalleenKumar  @PMOIndia  @PiyushGoyal  @PiyushGoyalOffc  @OfficeOfNG
Clear Credence Pvt Ltd,0,0,1,2021-01-12 04:53:09,Replying to  @gem_support  @GeM_India  and 7 othersThank you for response. We have been following this PFMS problem from 24 Dec. We r a startup with loan on our head. We request you to kindly give us a time line for resolution. @GeM_India  @gem_support  @DoC_GoI  @minmsme  @TalleenKumar  @PMOIndia  @PiyushGoyalOffc  @ndtv  @_Aaj_Tak
Clear Credence Pvt Ltd,0,0,1,2021-01-12 04:13:44,Replying to  @gem_support  @GeM_India  and  @sambitswarajThank you for response. We have been following this PFMS problem from 24 Dec. We are a start up with loans on our head. We request you to kindly give us a time line for resolution.  @gem_support  @GeM_India  @sambitswaraj  @TalleenKumar
Clear Credence Pvt Ltd,0,0,1,2021-01-12 04:08:46,Replying to  @gem_support  @PMOIndia  and 10 othersThank u for response. We have been following this PFMS problem from 24 Dec We r a start up with loan on our head We request u to kindly give us timeline for  resolution  @PMOIndia  @DoC_GoI  @TalleenKumar  @PiyushGoyal  @PiyushGoyalOffc  @amitabhk87  @CimGOI  @OfficeOfNG  @_DigitalIndia
FETCH.scot,4,6,0,2021-01-11 17:38:36,"Lockdown is beginning to bite again, so this is a shout out to request volunteers to start up a new Callander delivery service. P p get in touch if you would like to assist with deliveries of groceries etc for our more vulnerable neighbours."
"Look up ""Knuffelberen""",0,1,2,2021-01-11 15:59:29,"Replying to  @InmanRoshi  and  @PeterZeihanLike every startup ever made ever for some incentive reasons I'll do a mini-tweetstorm about at request, some guy who's also wearing the ""Devops"" hat at the same time and is juggling 27 dependencies on minimal knowledge and experience."
Brian Dolan,0,18,5,2021-01-11 14:47:39,Request for startup: Virtual therapy but for journalists whose scoops are written up by competing publications without attribution.
Lurabyss,0,0,0,2021-01-11 14:28:01,"Replying to  @DoeMarkease  @jsolomonReports  and 5 others24 hrs notice for sourcing & moving content of 300+ LIVE servers? Hardly a fair or reasonable request.  Creates appearance in world view, as a coordinated effort by a few to take down one competing startup while also dispersing their support associates, as a huge political favor."
YouthTrend,0,0,0,2021-01-11 12:12:03,Replying to  @narendramodiThis is a Like a Dream that PM Narendra Modi Ji is following Us... While working for almost four years as a startup with our website https://youthtrend.in its a Huge Honour from Prime Minister Sir. We request please keep your blessing on us so we can progress and so our country
K. Pareshkumar,0,0,0,2021-01-11 10:26:39,"@narendramodi  @nsitharaman  @FinMinIndia  @ianuragthakur   No response from arrogant Govt for request, representation, recommendation, judgment,begging, prayer from all professionals, startups, MSME. All are suffering in corona pandemic, plz beg us some relief  #Extend_CFFS"
Yogita Bharti,1,0,1,2021-01-11 07:11:44,"Deadlines for start up companies fiscal year 2020 Dear mam, due to corona company is closed as of now so no earning. Request to please increase deadlines for all annual compliances till this year. Thanks #nirmalasitaraman"
Ξric Ruleman,0,1,0,2021-01-10 22:56:47,request for DAO is the new request for startup
The Tippy Top - Alexander Leigh,0,0,0,2021-01-10 11:08:29,2021 class has started! Enter visual explainer videos. Look out for the first one coming soon  Let me know if you have any specific #startup or #investment question requests.  Alex  @thetippytopblog    #vlog #whiteboard
Composio,0,0,0,2021-01-10 08:18:24,"How to Use Sass import Rule to Combine SCSS/CSS Stylesheets Altogether -- https://ift.tt/3pXyJyG --  Unity is strength. It also goes with Sass. In CSS import, the browser sends separate HTTP requests for each CSS file which causes poor…  Continue reading on The Startup »"
Faysal_LM,1,3,1,2021-01-09 20:50:26,"@gizoapp  logo, designed by  @kmcdotninja . An intelligent bot-as-a-service (BaaS) startup for internet merchants to easily request delivery pickups for their customers in Kano. We partner with merchants to deliver happiness to their customers. Check http://testanoka.com.Faysal_LM"
Mary Pérez,0,0,0,2021-01-09 18:31:00,"Replying to  @elonmuskIn the beginning of 12/2020, I decided to request a donation from you for a start up nonprofit organization dedicated to the reduction of poverty in Laredo, Texas. Poverty here is one of the highest in the US, hugely thanks to no income tax. Fund a 2  yr. Guaranteed Income study."
Andy Xor,0,0,0,2021-01-09 16:09:02,"Twitter, Google and Facebook are using Capitol Hill protest as an excuse to silence all conservatives, i.e. half the country. @sama  and  @paulg , YC should add free speech platform to their list of requests for startups. It’s a great opportunity to build alternatives."
flipkartsupport,0,0,0,2021-01-09 06:09:13,Replying to  @e_STARTUP_IndiaThanks for reaching out to us. Request you to kindly contact seller support by writing an email to https://seller.flipkart.com or you can give a call on 0124 - 4319362. Hope this helps! (1/2)
Workify Offices,2,0,0,2021-01-09 05:04:15,"Now it's time for change, Avail move-in ready office spaces with increased focus on health and safety measure with #workifyoffice.   Request for Visit: 8527 480 480  #coworking #officespace #sharedoffice #workplace #workifyoffice #startups"
Jonathan Bogart,0,11,0,2021-01-09 00:06:19,waiting for the edit button people to start up with their second biggest request from the platform now.
Surya Pratap Singh,0,0,0,2021-01-08 21:42:28,Replying to  @HemantSorenJMMIt's my request to address my problem too respected  @HemantSorenJMM  Sir. Please do something for the SEB Selected Startups of your State for which we would be very much thankful to you.  @ABPNews  @republic  Please address our problems as well.
Oliver Kaiser,0,0,0,2021-01-08 15:37:07,"Empower your teams to work with data hands-on. Everyone in your startup should be able to do the common funnel analysis, segmentations and analysis on your KPI in greater detail. If you need to make a request to a data team and wait for these basic analysis something is wrong."
Michael Marcus,1,1,0,2021-01-08 13:32:57,"Another explanation: ""Capital"" is what tech startup companies BURN while waiting endlessly for  @FCC  consideration on nonroutine approvals while agency focuses on requests of major corporations and NOT new tech and §7 or Dkt 18-22Quote Tweet Katie @katieaiello  · Jan 8 Wasn’t sure when was a good time to bring up capitol vs. capital..."
Dilip Bhanushali,0,0,0,2021-01-08 08:39:25,@PiyushGoyal  Due to lockdown many startup companies are facing financial crisis and ROC is imposing huge fines for non-compliance. ROC penalties will break startups back and their moral. Kindly request Hon Finance Minister to extend the CFSS Scheme for ROC compliance by 1 month
Dilip Bhanushali,0,0,0,2021-01-08 08:37:38,@Dev_Fadnavis  Due to lockdown many startup companies are facing financial crisis and ROC is imposing huge fines for non-compliance. ROC penalties will break startups back and their moral. Kindly request Hon Finance Minister to extend the CFSS Scheme for ROC compliance by 1 month
Dilip Bhanushali,0,0,0,2021-01-08 08:36:52,@JPNadda  Due to lockdown many startup companies are facing financial crisis and ROC is imposing huge fines for non-compliance. ROC penalties will break startups back and their moral. Kindly request Hon Finance Minister to extend the CFSS Scheme for ROC compliance by 1 month
Nirav Trivedi,2,0,0,2021-01-08 00:08:31,"*Biotech Makers* is an online community supported by Cytiva for biotech startups. Join now >> click the link to request to join, membership is free! #community #biotech https://lnkd.in/giXtpGe"
BETA,4,5,0,2021-01-07 19:24:18,"Panelists for the 1st BETA Explore event moderated by  @indeeditsreed  ANNOUNCED!  Investors, hear from: @DarenCotter @consultmonique @genevievegg @david_russick AND Kathy Tune of Fourth Element Capital!  Request an invite: http://ow.ly/tVOd50D2Hzu  #BETAMN #Startups #FoundersFirst"
Vicky Vikas,6,2,0,2021-01-07 17:52:45,Replying to  @startupindia  @ficci_india  and 8 othersI Request  you to not to encourage startup’s they shall die paying penalties No place for small promotors in India #Extend_CFSS
The Overloaf TechCat BLM,0,2,1,2021-01-07 17:15:20,"Heyo! This will start up today! I've only got two requests so far. If I drew for you for a previous request, you can give me another so long as you're still following one of the accounts~!Quote Tweet The Overloaf TechCat BLM @OverloafTechCat  · Jan 6 Hey ho here we go again! This round due 20/01/07 2pm PST Cheap as Free! Reply to THIS POST with your ref/request One per person Be following here or the SPICY SKELETON AFTERDARK @Burnin_in_bread  (maybe when we hit a bigger milestone I'll start making these actual raffles)"
Burning In Bread,0,1,0,2021-01-07 17:13:38,"Heyo! This will start up today! I've only got two requests so far. If I drew for you for a previous request, you can give me another so long as you're still following one of the accounts~!Quote Tweet Burning In Bread @Burnin_in_bread  · Jan 6 Hey ho here we go again! This round due 20/01/07 2pm PST Cheap as Free! Reply to THIS POST with your ref/request One per person Be following here or my regular @OverloafTechCat  (maybe when we hit a bigger milestone I'll start making these actual raffles) Show this thread"
Innovation World Cup® Series,3,6,0,2021-01-07 12:24:50,"2021 on the go! - #healthtech #startups, #scaleups & innovative SMEs submit your #IoMT solution for free to the 13th Healthcare Innovation World Cup. Request free #devkits & compete for prizes worth 500k USD. See you at  @MEDICATradeFair !STMicroelectronics and 3 others"
M B Patil,16,56,1,2021-01-07 11:10:31,"Bengaluru is the Innovation capital of India.  Karnataka was the runway for startups. Recently we’re not seeing as much traction. Request Sh  @drashwathcn  to provide incentives to AI/ML/Robotics/Crypto/Foodtech Startups, like IT in 1990’s. This opportune time won’t come again!Quote Tweet Kiran Mazumdar-Shaw @kiranshaw  · Jan 7 Interesting read! The story of how #Bengaluru was chosen over Mumbai and other cities for setting up @iiscbangalore, a pivotal event in making #Bengaluru India's science capital http://bit.ly/38lEYpZ"
CS ShipraJha,32,18,0,2021-01-07 10:27:04,"With all the flooded request for extension of #CFSS to support small businessman or startups,  i wonder how to suggest the identity registration of start-ups with ease of doing business to the clients. At last we professionals are here to aware them about EODB. #cfss_extension"
Chris Gadek,0,1,0,2021-01-07 07:42:50,Request for startup:  @justinkan  unboxing errrthing
K. Pareshkumar,7,3,0,2021-01-07 05:11:43,"Replying to  @nsitharaman  @FinMinIndia  and  @DFS_IndiaDear ma'am, ministry has time to address all other grievances, it is also important for the economy. Otherwise we lost your trust & hope, We humbly request   kindly also take some time to listen from all professionals, startup, MSME. All are beg for some mercy. #Extend_CFSS"
Vikas Jain,1,1,0,2021-01-07 05:10:21,Second reminder and humble request for help please  @startupindia  @DIPPGOI  @investindia  @PiyushGoyal  @PiyushGoyalOffc  @PMOIndia  #startup #India
siob.,0,8,1,2021-01-07 04:14:03,"Replying to  @SIOBCARTIN  @naidIip  and 2 others“Flight EA 0067, approved for engine start up”. She punches a few buttons and prepared herself for their take off. “Flight EA 0067 request clearance for take off,” she checked the buttons while waiting for the response."
Reena,50,39,2,2021-01-07 03:24:36,My day starts with #Extend_CFSS request and end with #Extend_CFSS request. This request is not for mself as my all compliances are already done within due date. This is for new Startup's and MSME's who are ready to close their business as they can't afford these huge penalties.
BUNIE,0,1,1,2021-01-07 00:09:15,"Replying to  @aetherealseazenI’m actually in the process of searching for someone I can request a commission from for a 2D model to start up my Vtuber journey!  As soon as that step’s been taken care of, I’ll be debuting on Twitch shortly afterwards!"
Text Request,0,0,0,2021-01-06 17:16:44,Check out how  @TMT_Chattanooga  uses Text Request to organize moves with their customers   https://bit.ly/3no15jM  And be on the lookout tomorrow for a blog post with 15 text templates your moving company can use to draw in more prospects!  #moving #business #startup #movers
dezynForge,0,0,0,2021-01-06 15:35:43,"Replying to  @paniitindia  @iitdaa  and  @narendramodiThank you  @narendramodi   for making India better ranked for ease of doing business.. - Sir, a request to you, please share some burden of Startups and MSMEs who have lower turnover or less than 3/5/10 yrs old, , to get rid from various MCA compliance maintenance.   @CimGOI"
dezynForge,0,0,0,2021-01-06 15:32:29,"Replying to  @paniitindia  @iitdaa  and  @narendramodiThank you making India better ranked for ease of doing business  Sir, a request to you, please share some burden of Startups and MSMEs who have lower turnover, to get rid from various MCA compliance maintenance."
Ben Hale,0,0,1,2021-01-06 14:08:39,Replying to  @mi_native_nutt  @NewpPaul  and  @starbuxmanJustifying a slow startup and lots of RAM for a service that will only live for a minute or two and handle a small number of requests with low concurrency is difficult.
K. Pareshkumar,6,3,1,2021-01-06 13:33:39,"Replying to  @nsitharamanoffcDear ma'am, plz also focus on domestic business, they are about to die soon if u'll not take step for it, considering fact we all professional & institutes request you on behalf of the STARTUPS, MSME & enterpreneur. It would be great help to us. #Extend_CFSS  #Extend_Due_Dates"
Nikunj,0,0,0,2021-01-06 06:13:10,Replying to  @NikunjBagaria_  and  @HR_RashiI am attaching some links below for a better understanding of my Startup India.  I request you to kindly go through this once and give me a feedback even if I am not selected for the investment.
Jake,0,1,1,2021-01-06 04:09:12,Replying to  @eric_rulemanthe podcast I recorded today the podcast I'm recording tomorrow the request for startup thing actually working the possibility of starting a fund the  @Nas  record I'm listening to my twitter followers being unreal maybe more than anything that project we're involved in too much!
LACl,3,14,0,2021-01-06 02:41:20,"Thank you Senators  @lisamurkowski  &  @joemanchin  for listening to our national incubator coalition's request to accelerate #cleantech startup innovation by authorizing  @OTTatDOE , creating a CCO, & prioritizing incubators for tech commercialization. https://bit.ly/2XcxRcWSen. Lisa Murkowski and 5 others"
Jake,0,3,0,2021-01-05 23:23:15,"I might not have a large enough following to make this work yet but wouldn't it be awesome if I could write a blog post request for a startup, solicit interest in actually building it, raise capital to pay for the work, and have the product come to life, all through Twitter?! Quote Tweet Jake @blogofjake  · Jan 6 Yesterday I tweeted an idea for a podcast player organized by guest rather than host/show.   Today someone followed up and let me know how they'd build the mvp and how long it would take to do.  Long shot, would anyone be down to fund it ~$2K for the mvp?  https://blogofjake.com/2021/01/04/request-for-startup-a-new-kind-of-podcast-platform/…"
